"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
82,67,51,64,28,2,18,9,416,"cluster_0"
114,46,60,28,91,0,21,4,417,"cluster_2"
148,67,51,64,28,2,18,9,418,"cluster_1"
140,67,51,64,28,2,18,9,419,"cluster_1"
101,90,76,81,15,24,33,6,420,"cluster_3"
140,67,51,64,28,2,18,9,421,"cluster_1"
88,49,24,66,19,0,18,29,422,"cluster_0"
180,67,51,64,28,2,18,9,423,"cluster_1"
133,95,91,89,6,0,31,24,424,"cluster_3"
108,67,51,64,28,2,18,9,425,"cluster_0"
80,39,24,43,39,0,23,3,426,"cluster_0"
75,80,46,62,3,6,11,46,427,"cluster_0"
121,67,51,64,28,2,18,9,428,"cluster_0"
140,58,17,62,18,0,20,8,429,"cluster_1"
126,81,59,90,5,0,36,3,430,"cluster_3"
102,67,51,64,28,2,18,9,431,"cluster_0"
82,70,31,34,60,1,11,4,432,"cluster_2"
121,67,51,64,28,2,18,9,433,"cluster_0"
103,67,51,64,28,2,18,9,434,"cluster_0"
108,82,88,76,9,0,12,9,435,"cluster_3"
85,65,36,47,31,0,12,10,436,"cluster_0"
125,67,51,64,28,2,18,9,437,"cluster_0"
120,69,40,39,41,0,13,6,438,"cluster_2"
94,58,44,57,57,0,10,3,439,"cluster_2"
130,67,51,64,28,2,18,9,440,"cluster_1"
110,74,51,74,2,0,29,4,441,"cluster_0"
150,34,33,63,16,0,7,4,442,"cluster_1"
107,74,88,65,28,0,46,3,443,"cluster_3"
140,67,51,64,28,2,18,9,444,"cluster_1"
119,74,78,37,84,0,6,3,445,"cluster_2"
93,35,38,23,91,0,29,3,446,"cluster_2"
133,46,53,63,5,0,30,18,447,"cluster_1"
202,24,76,60,77,0,12,4,448,"cluster_1"
134,67,51,64,28,2,18,9,449,"cluster_1"
105,67,51,64,28,2,18,9,450,"cluster_0"
160,67,51,64,28,2,18,9,451,"cluster_1"
148,50,96,82,47,0,34,4,452,"cluster_3"
151,65,70,47,87,0,9,4,453,"cluster_2"
162,67,51,64,28,2,18,9,454,"cluster_1"
92,53,84,77,40,0,32,3,455,"cluster_3"
152,67,51,64,28,2,18,9,456,"cluster_1"
65,71,55,26,85,0,13,8,457,"cluster_2"
147,33,39,61,32,0,77,3,458,"cluster_1"
150,67,51,64,28,2,18,9,459,"cluster_1"
140,67,81,36,64,0,15,3,460,"cluster_2"
139,67,51,64,28,2,18,9,461,"cluster_1"
95,75,74,58,36,0,9,3,462,"cluster_0"
115,60,23,57,0,2,27,3,463,"cluster_0"
125,67,51,64,28,2,18,9,464,"cluster_0"
76,60,19,20,78,0,11,5,465,"cluster_2"
101,67,51,64,28,2,18,9,466,"cluster_0"
143,60,86,32,88,0,34,6,467,"cluster_2"
119,51,51,66,67,0,9,23,468,"cluster_2"
78,67,22,59,76,1,15,16,469,"cluster_2"
96,23,19,25,91,0,40,3,470,"cluster_2"
180,51,87,58,36,0,18,4,471,"cluster_1"
126,67,51,64,28,2,18,9,472,"cluster_0"
150,43,42,44,57,0,15,6,473,"cluster_2"
90,53,47,74,9,0,34,4,474,"cluster_0"
160,72,78,68,28,0,11,12,475,"cluster_1"
114,59,60,94,24,0,10,4,476,"cluster_3"
113,73,72,32,77,0,15,5,477,"cluster_2"
147,67,69,72,17,0,19,3,478,"cluster_1"
100,70,92,59,3,0,10,3,479,"cluster_3"
155,67,51,64,28,2,18,9,480,"cluster_1"
107,54,41,39,51,0,11,16,481,"cluster_2"
112,67,51,64,28,2,18,9,482,"cluster_0"
166,67,51,64,28,2,18,9,483,"cluster_1"
107,67,51,64,28,2,18,9,484,"cluster_0"
81,67,51,64,28,2,18,9,485,"cluster_0"
150,67,51,64,28,2,18,9,486,"cluster_1"
110,66,19,32,69,0,12,4,487,"cluster_2"
108,64,4,40,6,0,10,6,488,"cluster_0"
130,89,48,74,30,0,7,36,489,"cluster_3"
164,70,39,56,6,0,9,7,490,"cluster_1"
114,80,42,68,2,0,66,4,491,"cluster_0"
93,63,93,88,1,0,12,4,492,"cluster_3"
90,67,51,64,28,2,18,9,493,"cluster_0"
128,45,35,68,78,0,39,8,494,"cluster_2"
97,83,47,80,2,0,24,9,495,"cluster_0"
152,69,94,71,79,0,7,8,496,"cluster_3"
175,67,51,64,28,2,18,9,497,"cluster_1"
116,61,48,55,67,0,16,8,498,"cluster_2"
80,33,51,59,76,0,44,6,499,"cluster_2"
93,63,34,86,26,0,21,39,500,"cluster_0"
122,70,42,54,30,0,37,5,501,"cluster_0"
122,70,91,79,3,0,7,10,502,"cluster_3"
135,70,60,58,4,0,16,3,503,"cluster_1"
109,60,45,47,62,0,31,5,504,"cluster_2"
93,65,82,74,27,0,32,5,505,"cluster_3"
125,85,64,81,2,5,7,9,506,"cluster_3"
206,58,83,45,36,0,11,8,507,"cluster_1"
130,76,44,77,1,0,13,3,508,"cluster_1"
121,80,62,51,2,0,9,8,509,"cluster_3"
123,67,51,64,28,2,18,9,510,"cluster_0"
